iter	Passed	Remaining
0	0	891
1	16	8055
2	16	5546
3	17	4265
4	17	3529
5	18	3007
6	18	2628
7	18	2348
8	19	2175
9	20	2021
10	20	1871
11	21	1753
12	21	1647
13	22	1559
14	22	1502
15	25	1575
16	26	1510
17	26	1449
18	27	1423
19	28	1394
20	29	1368
21	30	1338
22	30	1316
23	31	1297
24	32	1272
25	33	1248
26	33	1224
27	34	1193
28	34	1167
29	35	1139
30	35	1115
31	36	1091
32	36	1070
33	37	1055
34	37	1037
35	38	1027
36	39	1017
37	39	1006
38	40	990
39	41	984
40	41	971
41	42	959
42	42	951
43	43	937
44	43	926
45	44	916
46	44	906
47	45	894
48	45	882
49	46	874
50	46	862
51	46	852
52	47	841
53	47	831
54	47	821
55	48	812
56	48	805
57	49	797
58	49	792
59	50	784
60	50	776
61	50	768
62	51	761
63	51	754
64	53	766
65	53	764
66	55	766
67	55	759
68	55	755
69	56	749
70	56	743
71	57	737
72	57	731
73	58	725
74	58	720
75	58	716
76	59	711
77	59	707
78	60	702
79	60	697
80	61	698
81	62	694
82	62	690
83	63	690
84	63	686
85	64	681
86	64	679
87	65	675
88	65	671
89	66	668
90	66	664
91	67	661
92	67	657
93	67	655
94	68	651
95	69	650
96	69	647
97	69	644
98	70	640
99	70	636
100	71	633
101	72	634
102	72	633
103	73	631
104	73	629
105	74	626
106	74	623
107	75	620
108	75	618
109	76	615
110	76	613
111	76	609
112	77	606
113	77	603
114	78	602
115	78	601
116	79	598
117	79	596
118	80	593
119	80	591
120	81	588
121	81	585
122	81	583
123	82	580
124	82	577
125	82	575
126	83	573
127	83	572
128	84	569
129	85	569
130	85	567
131	85	565
132	86	562
133	87	562
134	87	562
135	88	561
136	88	560
137	89	559
138	90	558
139	90	556
140	91	555
141	91	552
142	91	551
143	92	549
144	92	547
145	93	545
146	93	544
147	94	542
148	94	540
149	95	538
150	95	536
151	95	534
152	96	533
153	96	531
154	97	529
155	97	527
156	97	526
157	98	524
158	98	523
159	99	523
160	100	521
161	100	519
162	100	517
163	101	516
164	101	514
165	102	514
166	102	513
167	103	511
168	103	510
169	104	510
170	104	508
171	105	507
172	105	506
173	106	505
174	106	503
175	107	502
176	107	501
177	108	501
178	109	500
179	109	499
180	109	497
181	110	496
182	110	495
183	111	494
184	112	493
185	112	493
186	113	491
187	113	490
188	114	490
189	114	488
190	115	487
191	115	487
192	116	486
193	116	485
194	117	484
195	117	483
196	118	482
197	118	480
198	119	479
199	119	478
200	120	477
201	120	475
202	120	474
203	121	473
204	121	472
205	122	471
206	122	469
207	122	468
208	123	467
209	123	466
210	124	464
211	124	463
212	125	462
213	125	461
214	126	460
215	126	459
216	126	458
217	127	456
218	127	455
219	128	454
220	128	453
221	129	452
222	129	452
223	130	452
224	131	452
225	132	452
226	132	451
227	132	450
228	133	449
229	133	448
230	134	447
231	134	446
232	135	445
233	135	444
234	136	442
235	136	442
236	137	442
237	137	441
238	138	440
239	138	439
240	139	438
241	139	437
242	140	436
243	140	434
244	140	434
245	141	432
246	141	432
247	142	431
248	142	429
249	143	429
250	144	429
251	144	429
252	145	428
253	145	427
254	146	427
255	146	426
256	147	425
257	147	425
258	148	424
259	148	423
260	149	423
261	149	422
262	150	421
263	151	420
264	151	420
265	151	419
266	152	418
267	152	417
268	153	416
269	154	416
270	154	415
271	154	414
272	155	413
273	155	412
274	156	411
275	156	410
276	157	410
277	157	409
278	158	408
279	158	407
280	159	406
281	159	406
282	160	406
283	160	405
284	161	404
285	161	404
286	162	403
287	162	402
288	163	402
289	163	401
290	164	400
291	164	399
292	165	399
293	165	398
294	166	397
295	166	396
296	167	395
